,ccd,qid,rcid,field
254870.0,7,3,26,282
254871.0,5,1,16,1184
254871.0,8,2,29,1185
254871.0,13,1,48,146
254872.0,2,4,7,332
254872.0,11,4,43,1324
254872.0,15,2,57,282
254873.0,6,2,21,187
254873.0,15,3,58,1185
254874.0,8,2,29,332
254874.0,13,2,49,1323
254875.0,6,2,21,1274
254875.0,15,1,56,233
254876.0,6,1,20,232
254876.0,14,3,54,1227
254877.0,3,4,11,233
254878.0,8,1,28,1274
254878.0,13,1,48,232
254879.0,3,1,8,145
254879.0,11,1,40,1143
254880.0,2,1,4,233
254880.0,10,2,37,1228
254881.0,1,1,0,233
254881.0,4,2,13,234
254882.0,5,1,16,1274
254882.0,14,1,52,233
254883.0,6,2,21,1586
254883.0,15,1,56,540
254884.0,7,4,27,1275
254885.0,6,2,21,1274
254885.0,15,1,56,233
254886.0,2,4,7,1767
254886.0,15,1,56,1728
254887.0,8,2,29,282
254887.0,13,2,49,1274
254888.0,2,4,7,1274
254888.0,10,3,38,233
254889.0,4,1,12,1182
254889.0,11,2,41,144
254890.0,15,3,58,233
254891.0,3,1,8,1325
254891.0,11,3,42,283
254892.0,7,2,25,1324
254892.0,16,1,60,282
254893.0,4,4,15,1274
254893.0,9,4,35,232
254893.0,12,3,46,233
254894.0,5,4,19,70
254894.0,8,4,31,71
254894.0,15,4,59,1075
254895.0,5,2,17,1323
254895.0,14,4,55,281
254896.0,11,3,42,188
254897.0,6,4,23,1228
254897.0,14,3,54,188
254898.0,7,1,24,282
254898.0,16,4,63,1275
254899.0,3,3,10,1324
254899.0,5,1,16,281
254899.0,8,2,29,282
254899.0,13,2,49,1274
254900.0,3,4,11,1274
254900.0,12,4,47,233
254901.0,5,4,19,68
254901.0,8,3,30,69
254901.0,14,3,54,1073
254902.0,3,3,10,188
254902.0,9,4,35,1185
254902.0,12,3,46,1186
254903.0,1,1,0,280
254903.0,4,2,13,281
254903.0,9,2,33,1273
254904.0,7,2,25,1273
254904.0,16,1,60,232
254905.0,2,4,7,1102
254905.0,11,4,43,69
254906.0,1,2,1,1226
254906.0,10,4,39,186
254907.0,1,3,2,1429
254907.0,15,1,56,1377
254908.0,3,2,9,234
254908.0,9,1,32,1228
254908.0,12,2,45,1229
254909.0,2,3,6,434
254909.0,11,3,42,1428
254910.0,8,4,31,1274
254910.0,13,4,51,232
254910.0,16,3,62,233
254911.0,2,2,5,1274
254911.0,11,4,43,233
254912.0,2,3,6,1477
254912.0,16,1,60,1426
254913.0,7,2,25,488
254913.0,16,2,61,1482
254914.0,8,1,28,590
254914.0,13,1,48,1585
254915.0,4,4,15,1430
254915.0,9,3,34,384
254916.0,6,2,21,233
254916.0,15,3,58,1228
254917.0,7,2,25,1274
254917.0,16,4,63,233
254918.0,2,2,5,281
254918.0,11,1,40,1274
254919.0,1,3,2,281
254919.0,15,1,56,233
254920.0,3,1,8,383
254920.0,12,1,44,1376
254921.0,6,1,20,234
254921.0,15,4,59,1229
254922.0,3,1,8,807
254922.0,10,2,37,1810
254923.0,1,2,1,1183
254923.0,9,3,34,145
254924.0,7,4,27,1274
254924.0,15,3,58,233
254925.0,2,3,6,1274
254925.0,11,4,43,233
254926.0,8,1,28,233
254926.0,13,1,48,1227
254927.0,15,1,56,233
254928.0,6,2,21,281
254928.0,15,3,58,1274
254929.0,6,1,20,1274
254929.0,14,3,54,233
254930.0,4,4,15,1274
254930.0,9,4,35,232
254931.0,7,4,27,332
254931.0,15,3,58,1324
254932.0,16,2,61,1228
254933.0,5,2,17,281
254933.0,14,2,53,1274
254934.0,8,3,30,359
254934.0,15,3,58,1351
254935.0,3,4,11,145
254935.0,10,3,38,1143
254936.0,3,4,11,281
254936.0,12,4,47,1274
254937.0,7,2,25,280
254937.0,16,1,60,1273
254938.0,7,3,26,233
254938.0,16,4,63,1228
254939.0,11,1,40,1425
254940.0,2,4,7,1272
254940.0,10,3,38,231
254940.0,15,1,56,1226
254941.0,8,4,31,1534
254942.0,8,3,30,540
254942.0,13,3,50,1534
254943.0,3,1,8,434
254943.0,12,4,47,1428
254944.0,1,3,2,113
254944.0,11,3,42,1114
254945.0,3,2,9,232
254945.0,12,1,44,1227
254946.0,5,3,18,281
254946.0,14,4,55,1274
254947.0,15,3,58,233
254948.0,1,2,1,281
254948.0,10,4,39,1274
254949.0,2,4,7,145
254949.0,10,4,39,1143
254949.0,13,1,48,108
254950.0,3,3,10,1324
254950.0,9,4,35,281
254950.0,12,3,46,282
254951.0,2,4,7,281
254951.0,15,1,56,233
254952.0,4,4,15,1274
254952.0,9,4,35,232
254952.0,12,3,46,233
254953.0,4,2,13,1274
254953.0,9,2,33,232
254954.0,11,1,40,1274
254955.0,2,4,7,1274
254955.0,11,4,43,233
254956.0,9,2,33,233
254957.0,7,2,25,71
254957.0,14,1,52,1075
254958.0,3,4,11,1227
254958.0,11,3,42,187
254959.0,2,2,5,1274
254959.0,11,1,40,233
254960.0,5,4,19,281
254960.0,8,3,30,282
254960.0,13,3,50,1274
254961.0,6,3,22,281
254961.0,15,4,59,1274
254962.0,3,3,10,1274
254962.0,12,4,47,233
254963.0,1,1,0,1274
254963.0,4,2,13,1275
254963.0,9,2,33,233
254964.0,7,2,25,1273
254964.0,16,1,60,232
254965.0,6,3,22,333
254965.0,15,3,58,1325
254966.0,2,1,4,1228
254966.0,10,3,38,188
254967.0,2,4,7,1274
254967.0,15,1,56,1228
254968.0,6,1,20,1143
254968.0,13,1,48,108
254969.0,4,1,12,281
254969.0,9,4,35,1273
254969.0,12,3,46,1274
254970.0,5,2,17,1480
254970.0,14,1,52,435
254971.0,1,3,2,186
254971.0,10,3,38,1184
254972.0,6,2,21,1274
254972.0,15,1,56,233
254973.0,4,1,12,235
254973.0,9,2,33,1229
254974.0,2,2,5,1274
254974.0,11,4,43,233
254975.0,1,3,2,281
254975.0,10,4,39,1274
254976.0,6,1,20,185
254976.0,14,3,54,1183
254977.0,3,3,10,1274
254977.0,12,4,47,233
254978.0,8,4,31,1274
254978.0,16,3,62,233
254979.0,3,1,8,108
254979.0,11,2,41,1109
254980.0,3,4,11,233
254981.0,8,2,29,583
254981.0,14,3,54,1578
254982.0,6,4,23,1274
254983.0,2,4,7,333
254983.0,10,3,38,1325
254984.0,2,2,5,1324
254984.0,11,2,41,282
254985.0,1,3,2,1325
254985.0,10,4,39,283
254986.0,7,1,24,282
254986.0,16,1,60,1275
254987.0,3,1,8,1143
254987.0,10,2,37,108
254988.0,6,4,23,1274
254988.0,14,3,54,233
254989.0,4,1,12,1274
254989.0,12,2,45,233
254990.0,3,2,9,281
254990.0,12,1,44,1274
254991.0,2,1,4,281
254992.0,7,2,25,282
254992.0,16,2,61,1275
254993.0,1,4,3,1274
254993.0,4,3,14,1275
254993.0,10,4,39,233
254994.0,5,4,19,232
254994.0,8,3,30,233
254994.0,13,3,50,1227
254995.0,10,1,36,1274
254996.0,7,1,24,281
254996.0,16,1,60,1274
254997.0,7,2,25,1477
254997.0,16,1,60,432
254998.0,1,4,3,1274
254998.0,4,3,14,1275
254998.0,14,2,53,1228
254999.0,4,4,15,1143
255000.0,2,4,7,1273
255000.0,10,3,38,232
255001.0,6,2,21,487
255001.0,15,2,57,1481
255002.0,3,3,10,281
255002.0,12,4,47,1274
255003.0,1,4,3,332
255003.0,4,3,14,333
255003.0,10,4,39,1324
255004.0,11,1,40,233
255005.0,10,1,36,233
255006.0,6,4,23,1804
255006.0,14,4,55,768
255007.0,7,4,27,1587
255007.0,16,4,63,541
255008.0,1,4,3,1273
255008.0,4,3,14,1274
255008.0,9,3,34,232
255009.0,1,1,0,232
255009.0,4,2,13,233
255009.0,9,2,33,1227
255010.0,4,1,12,233
255010.0,9,4,35,1227
255011.0,3,3,10,1427
255011.0,12,4,47,382
255013.0,4,3,14,1274
255013.0,9,3,34,232
